EulerH,EulerR,EulerP,QuaternionW,QuaternionX,QuaternionY,QuaternionZ,LinearAccelerationX,LinearAccelerationY,LinearAccelerationZ,GravityX,GravityY,GravityZ,X_MeanAdjIntegral_0.995,Y_MeanAdjIntegral_0.995,Z_MeanAdjIntegral_0.995,GestureNumber,GestureName
73.875,-0.0625,-20.75,-0.785888672,-0.144836426,0.107788086,0.591369629,-0.04,0.21,-0.08,-0.01,3.48,9.16,-0.227482979,0.193287253,-0.056533915,0,Relax
73.6875,-0.125,-20.75,-0.786987305,-0.145080566,0.107299805,0.590026855,-0.13,-0.05,-0.03,-0.02,3.48,9.16,-0.22264554,0.182710784,-0.058509966,0,Relax
73.625,-0.1875,-20.75,-0.78729248,-0.145568848,0.106262207,0.589660645,-0.05,0,0.04,-0.04,3.47,9.16,-0.213682746,0.16839896,-0.056633734,0,Relax
73.75,-0.25,-20.875,-0.786621094,-0.14654541,0.106750488,0.590209961,-0.04,0.02,0,-0.04,3.49,9.16,-0.20242382,0.157665949,-0.051620466,0,Relax
73.75,-0.25,-20.9375,-0.786560059,-0.146972656,0.106872559,0.590209961,0.01,-0.08,0.06,-0.05,3.5,9.15,-0.192040819,0.146281302,-0.046319966,0,Relax
73.75,-0.25,-21,-0.786254883,-0.147338867,0.10748291,0.590393066,0.07,-0.07,-0.08,-0.04,3.51,9.15,-0.175351381,0.13458639,-0.045391372,0,Relax
73.875,-0.375,-21,-0.785583496,-0.147827148,0.106750488,0.591308594,-0.08,0.03,0.04,-0.07,3.51,9.15,-0.157416815,0.123558626,-0.048891157,0,Relax
74,-0.5,-21,-0.784851074,-0.148620605,0.106445313,0.592102051,0.03,0.08,0.09,-0.08,3.52,9.15,-0.146063229,0.126499065,-0.039727643,0,Relax
74,-0.5,-21.0625,-0.784851074,-0.148986816,0.106811523,0.591918945,0,0.06,0.02,-0.08,3.53,9.14,-0.130110116,0.117295585,-0.037497172,0,Relax
74,-0.5,-21.125,-0.784912109,-0.149291992,0.106628418,0.59185791,-0.06,0.02,-0.04,-0.09,3.53,9.14,-0.121381324,0.109080096,-0.03611083,0,Relax
